2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] DEGOUSDT | usage=138.85% | current_oi=923342.0 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] DIAUSDT | usage=2265.23% | current_oi=5549817.0 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1012].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] DOGEUSDT | usage=6656.24% | current_oi=372749531.095 | limit=5600000.0 | threshold=95.00% | source=leverageMargins[1005].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] DOODUSDT | usage=150537.33% | current_oi=368816455.0 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1012].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] DRIFTUSDT | usage=888.13% | current_oi=5906088.0 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] DUSDT | usage=12952.00% | current_oi=86130820.0 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] DUSKUSDT | usage=8932.99% | current_oi=45111582.0 | limit=505000.0 | threshold=95.00% | source=leverageMargins[1013].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] DYDXUSDT | usage=230.84% | current_oi=12927308.9825 | limit=5600000.0 | threshold=95.00% | source=leverageMargins[1005].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] DYMUSDT | usage=3181.95% | current_oi=21159957.0 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] EDENUSDT | usage=9442.02% | current_oi=23132947.62 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1012].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] EDUUSDT | usage=1267.10% | current_oi=8426210.5 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] EIGENUSDT | usage=3721.44% | current_oi=24747595.0 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] ELSAUSDT | usage=352.42% | current_oi=7048393.71 | limit=2000000.0 | threshold=95.00% | source=product.maxOI
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] ENAUSDT | usage=2351.63% | current_oi=15638369.5 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] ENJUSDT | usage=41231.42% | current_oi=67001051.0 | limit=162500.0 | threshold=95.00% | source=leverageMargins[1009].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] ENSOUSDT | usage=277.07% | current_oi=2770658.71 | limit=1000000.0 | threshold=95.00% | source=product.maxOI
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] EPICUSDT | usage=454.05% | current_oi=3019425.0 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] ERAUSDT | usage=3612.93% | current_oi=8851678.2 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1012].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] ESPORTSUSDT | usage=381.92% | current_oi=3819219.0 | limit=1000000.0 | threshold=95.00% | source=product.maxOI
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] ESPUSDT | usage=1056.33% | current_oi=21126539.35 | limit=2000000.0 | threshold=95.00% | source=product.maxOI
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] ETHFIUSDT | usage=281.62% | current_oi=1872791.6640625 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] EULUSDT | usage=162.81% | current_oi=1628053.52 | limit=1000000.0 | threshold=95.00% | source=product.maxOI
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] EVAAUSDT | usage=219.34% | current_oi=2193392.1 | limit=1000000.0 | threshold=95.00% | source=product.maxOI
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] FARTCOINUSDT | usage=4575.59% | current_oi=30427659.0 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] FETUSDT | usage=2287.43% | current_oi=15211401.0 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] FFUSDT | usage=7903.03% | current_oi=19362417.2 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1012].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] FHEUSDT | usage=1146.26% | current_oi=57313028.01 | limit=5000000.0 | threshold=95.00% | source=product.maxOI
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] FIDAUSDT | usage=12477.48% | current_oi=82975215.0 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] FIGHTUSDT | usage=3501.91% | current_oi=35019149.13 | limit=1000000.0 | threshold=95.00% | source=product.maxOI
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] FIOUSDT | usage=81084.56% | current_oi=243253680.0 | limit=300000.0 | threshold=95.00% | source=leverageMargins[1022].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] FLOWUSDT | usage=5308.23% | current_oi=35299741.85 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] FLUIDUSDT | usage=252.00% | current_oi=617389.1 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1012].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] FLUXUSDT | usage=2581.97% | current_oi=17170123.0 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] FOGOUSDT | usage=508.81% | current_oi=25440658.18 | limit=5000000.0 | threshold=95.00% | source=product.maxOI
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] FORMUSDT | usage=449.04% | current_oi=2986111.9 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] FUSDT | usage=121898.06% | current_oi=298650253.0 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1012].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] GALAUSDT | usage=4943.04% | current_oi=276810237.5 | limit=5600000.0 | threshold=95.00% | source=leverageMargins[1005].items[-1].notionalValueRv
